Problem,Feedback,n,Block,Ha,pHa,La,Hb,pHb,Lb,LotShapeB,LotNumB,Amb,Corr,bRate,bRate_std,EVA,LotShapeA,LotNumA
26,True,15,5,8,1.0,8,54,0.05,5,-,1,0,0,0.6933333333333334,0.3614784456460256,5,-,1
27,False,16,1,-3,0.2,-12,-5,0.6,-18,Symm,4,0,0,0.4749999999999999,0.3714835124201342,2,-,1
28,True,17,2,12,1.0,12,32,0.5,-28,Symm,4,0,0,0.4117647058823529,0.4662112623869897,19,Symm,3
29,False,16,1,30,0.5,12,34,0.05,27,-,1,0,0,0.825,0.2620432534271139,22,-,1
29,True,16,3,30,0.5,12,34,0.05,27,-,1,0,0,0.7749999999999999,0.3991657967979387,-6,Symm,3
30,False,16,1,6,0.5,-2,18,0.75,-35,R-skew,5,0,0,0.775,0.2720294101747089,11,Symm,5
30,True,15,4,6,0.5,-2,18,0.75,-35,R-skew,5,0,0,0.8266666666666667,0.3534860406754147,20,-,1
31,False,16,1,-8,0.9,-27,64,0.25,-40,Symm,4,0,1,0.5375,0.448516071804196,14,Symm,5
31,True,16,2,-8,0.9,-27,64,0.25,-40,Symm,4,0,1,0.775,0.3924283374069717,-7,Symm,3
32,True,15,5,22,1.0,22,32,0.5,13,-,1,0,0,0.4933333333333334,0.4131182235954578,27,R-skew,3
33,True,15,2,1,1.0,1,72,0.2,-12,-,1,0,0,0.4933333333333334,0.4131182235954578,0,L-skew,6
34,True,15,2,18,1.0,18,29,0.75,-16,L-skew,2,1,0,0.48,0.4828486896977739,25,-,1
35,True,15,4,27,0.25,15,88,0.4,-20,Symm,6,0,0,0.52,0.4329302154257328,3,L-skew,5
36,False,16,1,7,0.1,4,1,0.6,1,Symm,4,0,0,0.1,0.2422120283277993,-9,L-skew,2
36,True,16,4,7,0.1,4,1,0.6,1,Symm,4,0,0,0.1375,0.2895398648430529,-3,-,1
37,False,16,1,27,1.0,27,24,0.5,11,Symm,2,0,0,0.2,0.2921186973360886,23,L-skew,5
37,True,15,2,27,1.0,27,24,0.5,11,Symm,2,0,0,0.04,0.1549193338482966,9,-,1
38,False,32,1,33,0.5,-15,17,0.6,4,R-skew,4,0,0,0.54375,0.4196292526474047,19,Symm,3
38,True,16,5,33,0.5,-15,17,0.6,4,R-skew,4,0,0,0.675,0.4250490167812021,16,L-skew,3
39,True,18,2,-1,1.0,-1,23,0.2,-5,-,1,0,0,0.5444444444444445,0.4889631553811201,-8,Symm,5
40,True,17,3,-9,1.0,-9,-4,0.5,-20,Symm,2,0,0,0.2941176470588236,0.3543843045256345,7,-,1
41,True,15,5,-8,1.0,-8,24,0.05,-6,-,1,0,0,0.8666666666666667,0.3518657752744984,-1,-,1
42,False,16,1,14,0.5,-34,22,0.1,-20,-,1,0,0,0.4125,0.3304037933599835,9,Symm,5
42,True,16,5,14,0.5,-34,22,0.1,-20,-,1,0,0,0.275,0.3568379650952703,19,-,1
43,False,16,1,-8,0.2,-8,1,0.8,-43,-,1,0,0,0.3625,0.3947573094109004,-8,R-skew,5
44,True,15,4,13,1.0,13,23,0.5,15,Symm,6,0,0,0.96,0.1121223821162776,14,R-skew,8
45,True,17,4,2,1.0,2,59,0.2,-18,L-skew,6,0,0,0.5882352941176471,0.4270280332442714,12,Symm,9
46,True,15,2,-5,0.99,-13,7,0.75,-44,Symm,4,0,-1,0.8,0.3703280399090206,11,Symm,9
47,False,16,1,29,0.5,-31,39,0.2,-14,-,1,0,0,0.3,0.3502380143083653,20,L-skew,7
47,True,15,3,29,0.5,-31,39,0.2,-14,-,1,0,0,0.2533333333333333,0.277402921672395,20,-,1
48,True,19,2,-10,1.0,-10,6,0.25,-28,Symm,6,0,0,0.6736842105263158,0.3070325810853845,28,Symm,5
49,False,16,1,42,0.25,26,97,0.2,13,-,1,0,0,0.3875,0.4224926034855522,18,R-skew,7
49,True,15,3,42,0.25,26,97,0.2,13,-,1,0,0,0.4800000000000001,0.3764495792457279,23,-,1
50,False,16,1,18,0.99,-4,94,0.5,-47,-,1,0,0,0.4625,0.4660114447807764,18,-,1
51,True,15,2,-9,1.0,-9,53,0.01,-16,R-skew,2,0,0,0.4666666666666667,0.4186144947778269,8,-,1
52,True,15,2,31,0.05,10,17,0.9,17,Symm,2,0,0,0.8533333333333334,0.2559761893688737,7,-,1
53,True,19,4,-5,1.0,-5,-5,1.0,-5,R-skew,4,0,0,0.5894736842105263,0.3970652574998853,-3,R-skew,8
54,True,16,5,-2,1.0,-2,-4,0.9,-35,-,1,0,0,0.175,0.2516611478423583,1,Symm,9
55,False,16,1,-9,1.0,-9,15,0.5,-27,Symm,2,0,0,0.6499999999999999,0.322490309931942,17,R-skew,8
56,True,18,3,35,0.6,-17,19,0.05,12,Symm,2,0,0,0.5888888888888889,0.4199284097093763,-3,Symm,3
57,False,16,1,7,0.6,-18,60,0.1,-3,-,1,0,1,0.7499999999999998,0.2875181153713043,21,-,1
57,True,16,4,7,0.6,-18,60,0.1,-3,-,1,0,1,0.4875,0.3862210075418821,14,R-skew,6
58,False,32,1,5,1.0,5,20,0.4,0,-,1,0,0,0.55,0.3663243759117004,6,R-skew,6
58,True,15,4,5,1.0,5,20,0.4,0,-,1,0,0,0.4666666666666666,0.4186144947778269,2,Symm,7
59,True,16,5,27,0.4,-6,52,0.25,-7,Symm,2,0,0,0.35,0.3141125063837265,-4,Symm,5
60,True,17,2,18,1.0,18,88,0.25,-10,-,1,0,0,0.3411764705882353,0.3658189844879087,27,L-skew,3
61,False,16,1,15,1.0,15,14,0.75,1,-,1,1,0,0.3125,0.2825479310370779,-1,-,1
61,True,15,4,15,1.0,15,14,0.75,1,-,1,1,0,0.12,0.2908116719999879,10,-,1
62,True,17,4,11,0.4,8,27,0.5,5,-,1,0,0,0.7058823529411766,0.3749509771878421,18,-,1
63,False,16,1,1,1.0,1,25,0.2,8,L-skew,3,1,0,0.775,0.2720294101747089,-6,Symm,3
64,True,16,5,14,1.0,14,83,0.4,-25,Symm,4,1,0,0.6124999999999999,0.3052321520853704,15,-,1
65,False,16,1,9,0.8,1,20,0.1,0,-,1,0,0,0.2250000000000001,0.2516611478423583,3,-,1
65,True,15,3,9,0.8,1,20,0.1,0,-,1,0,0,0.1466666666666666,0.2559761893688738,-7,Symm,7
66,True,16,2,26,1.0,26,25,0.99,20,-,1,1,0,0.3,0.3723797345005051,-8,-,1
67,False,16,1,50,0.01,15,25,0.6,-2,Symm,2,0,1,0.3250000000000001,0.3855731664245668,4,-,1
67,True,15,4,50,0.01,15,25,0.6,-2,Symm,2,0,1,0.3733333333333333,0.4131182235954578,22,Symm,3
68,True,18,5,56,0.1,5,44,0.25,1,-,1,0,-1,0.5444444444444445,0.4217920064818988,10,L-skew,3
69,False,16,1,44,0.5,0,22,1.0,22,-,1,0,0,0.7,0.3723797345005049,19,-,1
69,True,15,4,44,0.5,0,22,1.0,22,-,1,0,0,0.5466666666666666,0.3502380143083653,-6,R-skew,5
70,True,16,3,11,1.0,11,9,0.95,7,Symm,8,0,0,0.2125,0.2777888886666756,6,-,1
71,True,16,3,18,1.0,18,24,0.8,-16,-,1,0,0,0.2875,0.3344149119482164,-6,-,1
72,True,16,4,24,1.0,24,49,0.5,-5,-,1,0,0,0.45,0.3687817782917155,17,-,1
73,True,18,2,6,0.01,5,86,0.2,0,-,1,1,0,0.6333333333333333,0.3710081654405053,2,Symm,3
74,True,16,4,31,0.05,-5,97,0.2,-32,-,1,1,0,0.45,0.3540244812627134,15,-,1
75,True,18,2,17,1.0,17,42,0.2,4,Symm,6,0,0,0.4222222222222223,0.410960933531265,2,Symm,9
76,False,16,1,10,0.6,7,30,0.5,-3,Symm,4,1,0,0.65,0.3614784456460256,22,L-skew,4
76,True,15,5,10,0.6,7,30,0.5,-3,Symm,4,1,0,0.7466666666666666,0.3159264531651691,13,-,1
77,True,17,5,11,0.4,-6,41,0.6,-50,-,1,0,1,0.6941176470588235,0.3749509771878421,3,-,1
78,True,16,4,55,0.25,-1,116,0.25,-23,Symm,8,0,1,0.5625,0.3947573094109004,22,-,1
79,False,16,1,13,1.0,13,12,0.99,-31,-,1,1,0,0.1875,0.2680174123696693,16,-,1
79,True,16,5,13,1.0,13,12,0.99,-31,-,1,1,0,0.125,0.2816617356570348,1,-,1
80,True,16,5,11,1.0,11,53,0.05,4,-,1,0,0,0.4,0.39327683210007,27,-,1
81,True,17,3,6,1.0,6,22,0.75,-16,-,1,0,0,0.6,0.4242640687119285,3,L-skew,3
82,True,16,4,23,0.95,3,25,0.4,14,-,1,0,0,0.1125,0.2825479310370779,-7,Symm,7
83,False,16,1,23,1.0,23,50,0.2,16,Symm,4,1,0,0.85,0.2476556749467561,24,-,1
84,True,16,3,-9,1.0,-9,-2,0.99,-17,-,1,0,0,0.8500000000000002,0.2129162589689509,-1,-,1
85,True,18,4,27,1.0,27,37,0.5,6,Symm,4,1,0,0.4666666666666666,0.3629940851892121,21,-,1
86,True,16,3,17,1.0,17,12,0.4,9,L-skew,3,0,0,0.15,0.2129162589689509,25,-,1
87,True,16,2,-2,1.0,-2,7,0.4,4,L-skew,6,0,0,0.7875,0.2680174123696692,20,-,1
88,False,16,1,20,1.0,20,52,0.2,16,-,1,0,0,0.75,0.2683281572999748,11,-,1
89,True,16,2,11,1.0,11,35,0.25,1,-,1,0,0,0.4125,0.3537890143385838,-2,-,1
90,True,17,2,43,0.75,-16,37,0.4,4,Symm,6,0,0,0.4117647058823529,0.4270280332442714,-2,-,1
91,False,16,1,-8,0.99,-40,53,0.1,-15,Symm,8,0,0,0.7124999999999999,0.3344149119482165,-7,-,1
92,False,16,1,14,1.0,14,31,0.5,1,-,1,0,0,0.7,0.3183289703016886,29,Symm,5
92,True,15,4,14,1.0,14,31,0.5,1,-,1,0,0,0.6933333333333334,0.3614784456460256,-1,-,1
93,True,18,5,60,0.6,-23,40,0.1,31,Symm,8,0,1,0.5666666666666668,0.3834824944236852,24,-,1
94,False,16,1,6,1.0,6,51,0.4,-25,Symm,6,1,0,0.55,0.409878030638384,-6,R-skew,7
94,True,16,5,6,1.0,6,51,0.4,-25,Symm,6,1,0,0.5749999999999998,0.3568379650952703,10,L-skew,5
95,True,16,2,6,1.0,6,13,0.4,1,-,1,0,0,0.475,0.3255764119219941,-10,R-skew,6
96,True,18,2,24,1.0,24,33,0.75,-6,-,1,0,0,0.5555555555555556,0.4032547322536553,-7,-,1
97,False,16,1,88,0.25,-41,-6,0.75,-35,Symm,6,0,0,0.225,0.2816617356570348,30,Symm,3
97,True,15,3,88,0.25,-41,-6,0.75,-35,Symm,6,0,0,0.5733333333333334,0.384460041889302,-1,-,1
98,True,16,3,6,1.0,6,24,0.6,-40,Symm,6,0,0,0.5625,0.4333974311568233,3,L-skew,7
99,True,17,2,19,1.0,19,19,0.99,5,Symm,4,0,0,0.4352941176470588,0.431481715242066,17,-,1
100,False,16,1,-5,1.0,-5,6,0.8,-14,-,1,0,0,0.7875,0.3138470965295043,15,R-skew,7
101,True,16,5,6,0.1,0,17,0.5,-10,-,1,0,-1,0.6749999999999999,0.3492849839314596,10,-,1
102,False,16,1,18,0.99,-17,22,0.95,-17,-,1,0,0,0.7125,0.3649200825751669,3,R-skew,6
103,True,18,3,16,1.0,16,25,0.25,14,Symm,8,1,0,0.8222222222222223,0.2462795053820797,14,Symm,7
104,True,16,3,-1,1.0,-1,57,0.1,-16,Symm,8,0,0,0.4,0.3864367132317184,24,-,1
105,True,16,5,5,1.0,5,22,0.05,8,R-skew,6,0,0,0.8625,0.25,30,-,1
106,True,17,4,26,1.0,26,49,0.25,9,Symm,4,0,0,0.5764705882352942,0.4054772061483633,9,-,1
107,True,17,3,-8,1.0,-8,11,0.01,-6,-,1,0,0,0.8941176470588235,0.2014652210534554,17,L-skew,2
108,False,16,1,63,0.25,3,19,0.8,12,-,1,0,-1,0.4875,0.4379878232706171,26,-,1
108,True,15,4,63,0.25,3,19,0.8,12,-,1,0,-1,0.3733333333333333,0.4131182235954578,-1,-,1
109,False,16,1,16,0.01,4,58,0.2,-9,-,1,0,0,0.275,0.3991657967979387,24,-,1
110,False,16,1,69,0.1,13,40,0.25,19,R-skew,5,0,0,0.6625000000000001,0.3242941051987634,-5,R-skew,8
110,True,15,2,69,0.1,13,40,0.25,19,R-skew,5,0,0,0.8266666666666667,0.2711527420547495,6,Symm,7
111,True,17,2,25,0.01,-3,45,0.1,-5,Symm,2,0,1,0.5882352941176472,0.3966773766885005,16,-,1
112,True,16,5,18,0.8,-47,19,0.99,10,Symm,6,1,0,0.925,0.1437590576856521,15,-,1
113,False,16,1,48,0.6,-9,42,0.6,-23,-,1,1,0,0.425,0.3924283374069717,26,-,1
113,True,17,3,48,0.6,-9,42,0.6,-23,-,1,1,0,0.1529411764705882,0.2294494689981421,7,-,1
114,False,16,1,11,1.0,11,23,0.4,4,L-skew,3,1,0,0.6624999999999999,0.4112987559751022,23,Symm,3
114,True,17,2,11,1.0,11,23,0.4,4,L-skew,3,1,0,0.5411764705882353,0.3857765278134023,14,Symm,7
115,False,16,1,25,1.0,25,42,0.8,-22,-,1,0,0,0.325,0.2909753712372692,3,-,1
115,True,16,5,25,1.0,25,42,0.8,-22,-,1,0,0,0.6375000000000001,0.3364025366531392,9,-,1
116,False,33,1,6,1.0,6,77,0.01,2,Symm,2,0,0,0.5333333333333332,0.3796928583298173,27,-,1
116,True,16,4,6,1.0,6,77,0.01,2,Symm,2,0,0,0.3375,0.4047633053197057,15,-,1
117,False,16,1,34,0.75,18,41,0.5,37,Symm,2,1,0,0.7,0.3577708763999663,-7,-,1
118,True,17,2,-3,1.0,-3,31,0.01,1,-,1,0,0,0.9882352941176472,0.0485071250072666,12,R-skew,3
119,False,16,1,31,0.4,4,15,1.0,15,L-skew,6,0,0,0.425,0.4187282332651254,4,-,1
119,True,15,5,31,0.4,4,15,1.0,15,L-skew,6,0,0,0.5333333333333333,0.4386125310350269,21,L-skew,5
120,False,16,1,6,1.0,6,23,0.8,-13,-,1,0,0,0.775,0.2720294101747089,14,-,1
120,True,15,3,6,1.0,6,23,0.8,-13,-,1,0,0,0.7066666666666668,0.3614784456460256,9,-,1
121,False,16,1,-2,1.0,-2,72,0.25,-17,-,1,1,0,0.7625000000000001,0.3364025366531392,-10,-,1
121,True,15,5,-2,1.0,-2,72,0.25,-17,-,1,1,0,0.4933333333333334,0.4061433010064071,-6,-,1
122,True,17,2,32,0.8,-34,17,0.2,9,-,1,0,0,0.2941176470588235,0.3543843045256345,20,Symm,9
123,True,16,2,-2,1.0,-2,-1,0.75,-4,-,1,0,0,0.7625,0.2753785273643051,9,-,1
124,False,16,1,38,0.05,3,24,0.6,-22,L-skew,2,1,0,0.3125000000000001,0.3930648801406709,17,-,1
124,True,15,3,38,0.05,3,24,0.6,-22,L-skew,2,1,0,0.4,0.3927922024247863,20,-,1
125,True,19,3,29,1.0,29,111,0.01,36,R-skew,2,0,0,0.8526315789473684,0.2480331990606445,1,-,1
126,False,16,1,7,1.0,7,22,0.01,9,Symm,8,0,0,0.7374999999999999,0.3774917217635375,15,-,1
126,True,15,5,7,1.0,7,22,0.01,9,Symm,8,0,0,0.8933333333333333,0.1830950832868254,30,-,1
127,True,18,5,29,0.2,-6,-2,0.8,-6,Symm,2,0,1,0.2555555555555555,0.3745149368296233,20,L-skew,5
128,False,16,1,21,0.6,-11,20,0.75,-23,L-skew,4,0,0,0.575,0.3991657967979388,8,-,1
128,True,15,3,21,0.6,-11,20,0.75,-23,L-skew,4,0,0,0.7733333333333334,0.3104528182847634,27,-,1
129,True,18,5,-4,1.0,-4,43,0.5,-48,Symm,4,0,0,0.7777777777777778,0.3422341055571988,13,-,1
130,True,16,2,77,0.1,25,59,0.25,15,-,1,1,0,0.3375,0.3324154027718932,28,-,1
131,False,16,1,98,0.1,-6,4,1.0,4,Symm,2,0,0,0.65,0.4647580015448901,12,Symm,5
131,True,16,2,98,0.1,-6,4,1.0,4,Symm,2,0,0,0.7625000000000001,0.2941088233970548,0,-,1
132,True,18,4,22,0.6,0,16,0.6,12,R-skew,5,1,1,0.6999999999999998,0.3235828832817662,23,-,1
133,True,16,4,10,0.01,-4,72,0.25,-35,L-skew,4,0,0,0.3875000000000001,0.4031128874149274,26,Symm,9
134,True,16,3,10,1.0,10,42,0.25,-5,R-skew,7,1,0,0.8125000000000001,0.2680174123696692,20,-,1
135,False,16,1,21,1.0,21,90,0.1,16,-,1,0,0,0.5999999999999999,0.4066120181860508,-9,-,1
136,False,16,1,28,1.0,28,39,0.25,19,Symm,2,0,0,0.3375,0.4364630568559039,19,-,1
137,False,16,1,2,0.25,-10,35,0.01,-10,R-skew,7,0,0,0.6124999999999999,0.4161329915623931,-4,Symm,3
137,True,16,2,2,0.25,-10,35,0.01,-10,R-skew,7,0,0,0.45,0.4472135954999579,13,R-skew,8
138,False,16,1,-9,0.8,-15,-10,1.0,-10,Symm,4,0,0,0.4,0.4258325179379016,20,Symm,3
138,True,15,5,-9,0.8,-15,-10,1.0,-10,Symm,4,0,0,0.24,0.3042555317022659,-2,-,1
139,True,16,2,21,1.0,21,110,0.25,0,Symm,8,1,0,0.525,0.3714835124201343,27,-,1
140,False,16,1,27,1.0,27,70,0.5,-9,L-skew,3,0,0,0.4125,0.3304037933599835,11,Symm,7
140,True,16,2,27,1.0,27,70,0.5,-9,L-skew,3,0,0,0.4875,0.3792536530256938,8,-,1
141,True,16,2,22,1.0,22,72,0.01,27,Symm,4,0,0,0.9125,0.1454876856186346,9,-,1
142,True,17,2,44,0.4,14,26,1.0,26,-,1,0,0,0.4,0.3605551275463989,27,-,1
143,True,16,3,15,1.0,15,24,0.75,15,L-skew,4,0,0,0.875,0.3087609647175842,11,-,1
144,True,16,5,0,1.0,0,20,0.05,-5,-,1,0,0,0.1375,0.2704933763822446,26,-,1
145,True,17,3,8,1.0,8,11,0.9,7,-,1,0,0,0.7882352941176469,0.3199264621385211,8,-,1
146,False,16,1,30,0.8,-15,23,0.05,17,L-skew,3,0,0,0.7875000000000001,0.3222318006239194,26,-,1
146,True,15,5,30,0.8,-15,23,0.05,17,L-skew,3,0,0,0.5599999999999999,0.3942443042436649,2,-,1
147,False,16,1,-2,1.0,-2,-3,0.75,-6,-,1,0,0,0.2125,0.3304037933599835,22,-,1
148,False,16,1,11,1.0,11,33,0.75,-37,-,1,0,0,0.4375,0.4080441152620633,7,L-skew,6
148,True,15,5,11,1.0,11,33,0.75,-37,-,1,0,0,0.3866666666666667,0.3583028779970269,24,R-skew,7
149,True,18,4,88,0.25,-24,108,0.25,-25,Symm,2,0,0,0.7555555555555556,0.3601016559450665,28,-,1
150,True,31,2,22,1.0,22,23,0.2,20,R-skew,4,0,0,0.535483870967742,0.4045972376712213,3,-,1
151,False,16,1,31,0.5,5,65,0.4,-4,-,1,0,0,0.2250000000000001,0.2909753712372693,11,-,1
152,True,16,2,25,1.0,25,40,0.05,30,R-skew,6,0,0,0.9375,0.1204159457879229,22,Symm,7
153,True,16,5,25,1.0,25,38,0.8,22,Symm,6,0,0,0.7125,0.4256367778595579,10,-,1
154,True,16,2,28,1.0,28,23,0.8,16,Symm,4,0,0,0.0625,0.25,19,L-skew,3
155,True,16,3,63,0.6,-29,32,0.75,22,Symm,8,0,0,0.5625,0.3117156824201609,-5,-,1
156,False,16,1,-1,0.9,-25,1,0.4,-7,-,1,0,0,0.8124999999999999,0.3138470965295044,23,-,1
157,False,16,1,23,1.0,23,89,0.5,-40,-,1,0,0,0.275,0.2516611478423583,27,-,1
158,True,19,4,35,0.25,-18,48,0.05,-15,-,1,1,0,0.7789473684210527,0.2897871774028908,27,-,1
159,True,16,2,0,1.0,0,3,0.9,-13,-,1,0,0,0.75,0.3386246693120078,25,-,1
160,False,16,1,15,1.0,15,51,0.5,-38,-,1,0,0,0.4,0.4381780460041329,-3,-,1
161,False,31,1,29,0.95,2,38,0.4,25,R-skew,4,1,1,0.5741935483870969,0.405764908894698,5,Symm,7
161,True,15,4,29,0.95,2,38,0.4,25,R-skew,4,1,1,0.8599999999999999,0.1764733893335115,13,Symm,5
162,True,18,2,6,1.0,6,3,0.5,-1,-,1,1,0,0.1333333333333333,0.2057983021710106,-9,-,1
163,True,16,3,22,1.0,22,56,0.4,-8,-,1,0,0,0.3625,0.3364025366531392,15,-,1
164,True,16,4,-2,1.0,-2,6,0.2,-10,L-skew,5,0,0,0.175,0.3,-8,-,1
165,True,16,2,-1,1.0,-1,23,0.05,-3,Symm,6,0,0,0.525,0.3642343567906062,-8,-,1
166,True,16,3,-2,1.0,-2,87,0.2,-20,-,1,0,0,0.7,0.39327683210007,3,-,1
167,False,16,1,3,1.0,3,30,0.5,-16,Symm,4,0,0,0.7375000000000002,0.3774917217635375,-1,-,1
168,True,17,4,-1,0.2,-2,-2,1.0,-2,Symm,8,0,0,0.5411764705882353,0.4886957431897322,10,Symm,7
169,True,16,3,27,1.0,27,41,0.25,7,-,1,0,0,0.275,0.3924283374069717,17,-,1
170,True,18,4,30,1.0,30,40,0.75,4,-,1,1,0,0.5666666666666667,0.344707889976085,22,-,1
171,False,16,1,40,0.5,18,29,1.0,29,Symm,4,0,0,0.2875,0.3180670788790734,-6,Symm,7
172,False,16,1,-7,1.0,-7,24,0.5,-32,-,1,0,0,0.7,0.4,6,-,1
172,True,15,2,-7,1.0,-7,24,0.5,-32,-,1,0,0,0.7066666666666667,0.3614784456460255,21,R-skew,5
173,False,16,1,18,0.75,-19,78,0.2,-6,Symm,6,0,-1,0.6499999999999999,0.3055050463303893,4,L-skew,2
174,False,16,1,-7,1.0,-7,-2,0.8,-48,-,1,1,0,0.25,0.2250925735484551,22,-,1
175,True,16,3,-4,1.0,-4,27,0.05,-8,-,1,0,0,0.2375,0.3364025366531392,-5,-,1
176,True,16,4,24,0.5,22,23,1.0,23,Symm,4,0,0,0.25,0.322490309931942,-9,-,1
177,True,16,4,21,0.75,21,115,0.4,-45,-,1,1,0,0.1125,0.2187083293643233,27,L-skew,2
178,True,18,5,13,1.0,13,14,0.95,11,-,1,1,0,0.5333333333333333,0.4058397249567139,26,L-skew,4
179,False,16,1,3,1.0,3,5,0.9,-39,L-skew,4,0,0,0.275,0.3255764119219941,0,-,1
180,True,16,4,-4,1.0,-4,34,0.05,-11,-,1,0,0,0.15,0.2,20,-,1
181,True,16,5,17,1.0,17,17,0.8,-40,R-skew,6,0,0,0.275,0.2720294101747089,21,Symm,5
182,False,16,1,27,0.8,1,22,0.8,5,-,1,0,1,0.3375000000000001,0.2604483314082341,24,-,1
182,True,15,5,27,0.8,1,22,0.8,5,-,1,0,1,0.1733333333333333,0.2120197654757238,29,Symm,3
183,True,16,5,1,1.0,1,59,0.2,-14,-,1,0,0,0.2375,0.2446085307860977,-1,-,1
184,True,16,3,21,1.0,21,57,0.4,18,Symm,8,0,0,0.6375000000000001,0.4014556845614055,24,L-skew,4
185,False,16,1,15,0.25,-4,20,0.6,-10,Symm,4,1,0,0.7250000000000001,0.3,0,-,1
185,True,15,5,15,0.25,-4,20,0.6,-10,Symm,4,1,0,0.7466666666666665,0.3067494712224263,22,R-skew,8
186,False,16,1,67,0.05,15,26,0.5,12,Symm,2,1,0,0.5874999999999999,0.3757215280851852,22,R-skew,7
186,True,15,5,67,0.05,15,26,0.5,12,Symm,2,1,0,0.64,0.2848558532711889,15,-,1
187,False,16,1,12,1.0,12,81,0.05,17,-,1,0,0,0.7625,0.3364025366531391,10,-,1
188,True,16,2,-6,1.0,-6,2,0.99,-4,-,1,0,0,0.9125,0.2526525941551627,-2,-,1
189,True,16,4,11,1.0,11,21,0.05,15,Symm,4,0,0,0.775,0.3492849839314596,25,-,1
190,True,16,4,5,0.75,5,41,0.4,-14,-,1,1,0,0.375,0.2516611478423583,26,-,1
191,True,16,2,7,1.0,7,50,0.6,-32,Symm,8,0,0,0.6,0.3011090610836324,24,-,1
192,False,17,1,28,0.01,2,14,0.1,-2,-,1,0,0,0.2352941176470588,0.3334313581357268,29,-,1
193,False,17,1,10,1.0,10,30,0.5,-16,-,1,1,0,0.3058823529411765,0.3325480947082957,28,-,1
193,True,15,2,10,1.0,10,30,0.5,-16,-,1,1,0,0.28,0.3447566429485338,18,Symm,3
